EntropicMoment - momento q=0.500
-----------------------------------------------
Z  | Q | q     | EntropicMoment | integration_error | space   
25 | 0 | 1.250 | 1.91041e-01    | 1.04841e-10       | momentum
26 | 0 | 1.250 | 1.84657e-01    | 4.81622e-11       | momentum
27 | 0 | 1.250 | 1.78712e-01    | 4.81227e-11       | momentum
28 | 0 | 1.250 | 1.73186e-01    | 6.20899e-11       | momentum
29 | 0 | 1.250 | 1.60490e-01    | 1.12517e-10       | momentum
30 | 0 | 1.250 | 1.63210e-01    | 3.93148e-11       | momentum
31 | 0 | 1.250 | 1.62794e-01    | 4.93392e-12       | momentum
32 | 0 | 1.250 | 1.61667e-01    | 2.24838e-11       | momentum
33 | 0 | 1.250 | 1.60362e-01    | 4.13598e-11       | momentum
34 | 0 | 1.250 | 1.59553e-01    | 2.96438e-11       | momentum
35 | 0 | 1.250 | 1.58456e-01    | 2.78888e-12       | momentum
36 | 0 | 1.250 | 1.57186e-01    | 1.34350e-11       | momentum
37 | 0 | 1.250 | 1.61398e-01    | 2.98746e-11       | momentum
38 | 0 | 1.250 | 1.65891e-01    | 4.34383e-11       | momentum
39 | 0 | 1.250 | 1.62922e-01    | 5.02589e-11       | momentum
40 | 0 | 1.250 | 1.60073e-01    | 1.99959e-11       | momentum
41 | 0 | 1.250 | 1.51782e-01    | 3.98175e-12       | momentum
42 | 0 | 1.250 | 1.49357e-01    | 4.73580e-12       | momentum
43 | 0 | 1.250 | 1.52182e-01    | 3.60447e-11       | momentum
44 | 0 | 1.250 | 1.45230e-01    | 3.63652e-12       | momentum
45 | 0 | 1.250 | 1.43208e-01    | 8.34595e-11       | momentum
46 | 0 | 1.250 | 1.38849e-01    | 3.27492e-12       | momentum
47 | 0 | 1.250 | 1.39294e-01    | 5.97867e-11       | momentum
48 | 0 | 1.250 | 1.41051e-01    | 1.24564e-10       | momentum
49 | 0 | 1.250 | 1.41110e-01    | 7.45678e-12       | momentum
50 | 0 | 1.250 | 1.40854e-01    | 1.71856e-11       | momentum


EntropicMoment - momento q=0.750
-----------------------------------------------
Z  | Q | q     | EntropicMoment | integration_error | space   
-----------------------------------------------
1  | 0 | 0.750 | 2.10781e+00    | 6.33273e-13       | momentum
2  | 0 | 0.750 | 3.12199e+00    | 1.66715e-11       | momentum
3  | 0 | 0.750 | 3.66066e+00    | 4.19033e-10       | momentum
4  | 0 | 0.750 | 4.10328e+00    | 1.56206e-11       | momentum
5  | 0 | 0.750 | 4.60029e+00    | 6.24593e-10       | momentum
6  | 0 | 0.750 | 5.07101e+00    | 7.26343e-12       | momentum
7  | 0 | 0.750 | 5.51910e+00    | 4.44941e-12       | momentum
8  | 0 | 0.750 | 5.93033e+00    | 1.72066e-11       | momentum
9  | 0 | 0.750 | 6.33294e+00    | 1.34699e-10       | momentum
10 | 0 | 0.750 | 6.72661e+00    | 1.44699e-10       | momentum
11 | 0 | 0.750 | 7.02240e+00    | 1.38765e-10       | momentum
12 | 0 | 0.750 | 7.29141e+00    | 4.20568e-10       | momentum
13 | 0 | 0.750 | 7.56838e+00    | 1.84854e-11       | momentum
14 | 0 | 0.750 | 7.83958e+00    | 2.88173e-10       | momentum
15 | 0 | 0.750 | 8.10370e+00    | 1.42450e-11       | momentum
16 | 0 | 0.750 | 8.35429e+00    | 1.87089e-11       | momentum
17 | 0 | 0.750 | 8.60071e+00    | 8.78878e-12       | momentum
18 | 0 | 0.750 | 8.84289e+00    | 3.95097e-10       | momentum
19 | 0 | 0.750 | 9.04763e+00    | 1.56117e-10       | momentum
20 | 0 | 0.750 | 9.23972e+00    | 1.18964e-10       | momentum
21 | 0 | 0.750 | 9.47724e+00    | 9.58507e-10       | momentum
22 | 0 | 0.750 | 9.71609e+00    | 2.32123e-11       | momentum
23 | 0 | 0.750 | 9.95288e+00    | 2.78872e-11       | momentum
24 | 0 | 0.750 | 1.02270e+01    | 1.05828e-09       | momentum
25 | 0 | 0.750 | 1.04199e+01    | 4.78742e-11       | momentum
26 | 0 | 0.750 | 1.06461e+01    | 9.60828e-10       | momentum
27 | 0 | 0.750 | 1.08711e+01    | 6.27333e-10       | momentum
28 | 0 | 0.750 | 1.10939e+01    | 1.52973e-09       | momentum
29 | 0 | 0.750 | 1.13492e+01    | 7.21968e-10       | momentum
30 | 0 | 0.750 | 1.15338e+01    | 8.30731e-10       | momentum
31 | 0 | 0.750 | 1.17212e+01    | 1.20008e-10       | momentum
32 | 0 | 0.750 | 1.19058e+01    | 1.40439e-10       | momentum
33 | 0 | 0.750 | 1.20866e+01    | 3.37318e-10       | momentum
34 | 0 | 0.750 | 1.22606e+01    | 4.88818e-10       | momentum
35 | 0 | 0.750 | 1.24323e+01    | 5.88366e-10       | momentum
36 | 0 | 0.750 | 1.26016e+01    | 5.98251e-10       | momentum
37 | 0 | 0.750 | 1.27526e+01    | 9.17202e-10       | momentum
38 | 0 | 0.750 | 1.28974e+01    | 1.16495e-09       | momentum
39 | 0 | 0.750 | 1.30611e+01    | 8.22869e-10       | momentum
40 | 0 | 0.750 | 1.32254e+01    | 8.94818e-10       | momentum
41 | 0 | 0.750 | 1.34079e+01    | 1.49339e-09       | momentum
42 | 0 | 0.750 | 1.35711e+01    | 1.58208e-09       | momentum
43 | 0 | 0.750 | 1.37133e+01    | 1.51813e-09       | momentum
44 | 0 | 0.750 | 1.38901e+01    | 7.44251e-11       | momentum
45 | 0 | 0.750 | 1.40481e+01    | 2.55849e-10       | momentum
46 | 0 | 0.750 | 1.42156e+01    | 5.39247e-11       | momentum
47 | 0 | 0.750 | 1.43610e+01    | 6.39812e-11       | momentum
48 | 0 | 0.750 | 1.44979e+01    | 1.71571e-10       | momentum
49 | 0 | 0.750 | 1.46371e+01    | 5.13232e-11       | momentum
50 | 0 | 0.750 | 1.47747e+01    | 5.92103e-11       | momentum


EntropicMoment - posicion q=0.500
-----------------------------------------------
Z  | Q | q     | EntropicMoment | integration_error | space   
-----------------------------------------------
1  | 0 | 0.500 | 1.41796e+01    | 7.41188e-10       | position
2  | 0 | 0.500 | 7.38610e+00    | 5.93914e-10       | position
3  | 0 | 0.500 | 2.85273e+01    | 2.04261e-09       | position
4  | 0 | 0.500 | 2.02032e+01    | 2.84126e-09       | position
5  | 0 | 0.500 | 1.60474e+01    | 1.31429e-09       | position
