Z;Q;N;Config;Energy;Ionization;Valence_n;Valence_l;n;l;mz;N_list;A_list;C_list
13;1;12;3P;-241,674670411;0,2199;3;0;3;0;2;[3, 1, 2, 1, 2, 3, 2, 3, 3, 1];[32.296386, 18.512920, 15.998712, 10.978117, 5.628319, 3.751762, 3.500398, 1.701856, 1.258305, 1.142189];[-0.000115965512, -0.020396212261, -0.018664507753, 0.143966233543, -0.224752759029, -0.114630635933, -0.385536113149, 0.566027240367, 0.693247346854, 0.440540252601]
13;1;12;3P;-241,674670411;0,2199;3;0;2;1;6;[3, 2, 2, 2, 2, 2, 3];[30.684557, 17.454878, 7.832108, 5.026460, 3.397058, 2.323988, 1.142189];[0.000201837955, 0.006512703328, 0.344807322622, 0.831094233400, 1.288267978789, 0.123154710441, 0.000727498454]
14;1;13;1D;-288,573130997;0,2996;3;1;1;0;2;[3, 1, 2, 1, 2, 3, 2, 3, 3, 1];[34.793099, 19.983744, 17.313530, 11.902721, 6.092679, 4.310043, 4.008864, 2.050620, 1.491987, 1.082471];[0.000843154126, -0.474235870624, -0.265879362215, -0.717209074348, -0.001890096426, 0.001548988115, -0.002491420033, 0.000161786032, 0.000188090404, -0.000552674660]
14;1;13;1D;-288,573130997;0,2996;3;1;2;0;2;[3, 1, 2, 1, 2, 3, 2, 3, 3, 1];[34.793099, 19.983744, 17.313530, 11.902721, 6.092679, 4.310043, 4.008864, 2.050620, 1.491987, 1.082471];[0.000371089639, 0.094028231335, 0.081870237339, -0.670375836595, 0.411376623361, -0.340610225228, 1.463203192966, 0.000304480180, -0.000870872712, 0.002561140761]
14;1;13;1D;-288,573130997;0,2996;3;1;3;0;2;[3, 1, 2, 1, 2, 3, 2, 3, 3, 1];[34.793099, 19.983744, 17.313530, 11.902721, 6.092679, 4.310043, 4.008864, 2.050620, 1.491987, 1.082471];[-0.000118511097, -0.025664299202, -0.022380495310, 0.166891342496, -0.259495319352, -0.192290193812, -0.341932514909, 0.501633147125, 0.637502583759, 0.559310715895]
14;1;13;1D;-288,573130997;0,2996;3;1;2;1;6;[2, 2, 4, 2, 3, 4, 2, 3, 2, 3];[33.691090, 19.882253, 11.295611, 7.396430, 5.827720, 4.889860, 3.362886, 2.617048, 1.153748, 1.082471];[-0.000275322647, 0.007891521104, -0.019168971880, 1.059334013398, 0.869537015321, 0.214234577445, 0.534093847037, 0.017143488812, 0.002327750103, -0.000128843160]
14;1;13;1D;-288,573130997;0,2996;3;1;3;1;1;[2, 2, 4, 2, 3, 4, 2, 3, 2, 3];[33.691090, 19.882253, 11.295611, 7.396430, 5.827720, 4.889860, 3.362886, 2.617048, 1.153748, 1.082471];[0.000027000000, -0.000713000000, 0.000839800000, -0.084134700000, -0.019441600000, 0.010227900000, -0.282002700000, -0.063460500000, 1.063196200000, 0.086720200000]
15;1;14;1S;-340,349775833;0,3879;3;1;1;0;2;[3, 1, 2, 1, 2, 3, 2, 3, 3, 1];[38.181169, 21.205740, 18.450969, 12.744580, 6.751577, 4.865898, 4.474991, 2.361960, 1.695251, 1.199982];[0.000733976839, -0.492118883963, -0.268222996931, -0.697166415478, -0.000505581349, 0.002617143619, -0.004474430290, 0.000124309372, 0.000191908780, -0.000479135555]
15;1;14;1S;-340,349775833;0,3879;3;1;2;0;2;[3, 1, 2, 1, 2, 3, 2, 3, 3, 1];[38.181169, 21.205740, 18.450969, 12.744580, 6.751577, 4.865898, 4.474991, 2.361960, 1.695251, 1.199982];[0.000354684761, 0.096595453215, 0.080844649664, -0.683680050683, 0.276523723435, -0.440927464275, 1.692665848843, 0.001327098007, 0.000151179430, 0.000247204531]
15;1;14;1S;-340,349775833;0,3879;3;1;3;0;2;[3, 1, 2, 1, 2, 3, 2, 3, 3, 1];[38.181169, 21.205740, 18.450969, 12.744580, 6.751577, 4.865898, 4.474991, 2.361960, 1.695251, 1.199982];[-0.000113419928, -0.029537264464, -0.024703058243, 0.183434671327, -0.248650281228, -0.205601054704, -0.394426425288, 0.502617439764, 0.621699737149, 0.596387577124]
