Z;Q;N;Config;Energy;Ionization;Valence_n;Valence_l;n;l;mz;N_list;A_list;C_list
40;-1;41;1S;-3538,994497048;0,2515;4;2;4;1;6;[2, 3, 2, 3, 3, 2, 3, 3, 3, 2, 2, 2];[65.754581, 53.003930, 29.684560, 24.275120, 17.824462, 11.572641, 8.371764, 6.151678, 2.061198, 1.843327, 0.677908, 0.186704];[-0.002483537650, -0.005848891608, 0.161737358226, 0.175160562017, 0.364837045198, -0.409749174479, -0.678460158854, -1.177965006182, -1.919369458007, 4.965838553045, 0.012280516825, 0.000059032703]
40;-1;41;1S;-3538,994497048;0,2515;4;2;3;2;10;[3, 4, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3];[43.336041, 32.711952, 14.125436, 12.762793, 8.478264, 6.944099, 4.634623, 2.960983, 1.857180, 1.129865, 0.668007, 0.186704];[0.002548479566, 0.013936790104, 0.259715334408, 0.347912839488, 1.799382474117, 0.684685607236, 0.346450286071, 0.009560830278, 0.000280494028, 0.000255195807, 0.000017076299, 0.000003478505]
40;-1;41;1S;-3538,994497048;0,2515;4;2;4;2;3;[3, 4, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3];[43.336041, 32.711952, 14.125436, 12.762793, 8.478264, 6.944099, 4.634623, 2.960983, 1.857180, 1.129865, 0.668007, 0.186704];[-0.000327877218, -0.001815708862, -0.008355586301, -0.080932498855, -0.206781578482, -0.146051200631, -0.039388567415, 0.398604473369, 0.775349079907, 0.667730181439, 0.205179258280, 0.001496145488]
41;-1;42;2D;-3753,57821457;0,2529;4;2;1;0;2;[1, 3, 1, 4, 2, 3, 4, 3, 2, 2, 2, 2, 2, 2, 1];[69.512532, 51.614236, 42.515673, 30.184309, 18.723442, 18.716561, 10.523020, 7.039269, 6.671101, 3.877900, 2.886243, 2.110581, 0.708176, 0.373352, 0.186523];[-0.029055724746, 0.036234272788, 1.383164786454, -0.040019698231, 0.108941113350, -0.041444801238, -0.004257772772, -0.004211103725, 0.011685646666, -0.000024041631, 0.000014142136, 0.000000000000, -0.000000282843, 0.000000424264, -0.000000282843]
41;-1;42;2D;-3753,57821457;0,2529;4;2;2;0;2;[1, 3, 1, 4, 2, 3, 4, 3, 2, 2, 2, 2, 2, 2, 1];[69.512532, 51.614236, 42.515673, 30.184309, 18.723442, 18.716561, 10.523020, 7.039269, 6.671101, 3.877900, 2.886243, 2.110581, 0.708176, 0.373352, 0.186523];[0.062804517198, -0.065479360730, -0.552324359476, 0.148909899893, 0.904877618238, 0.433782574515, -0.060797465310, -0.081246993422, 0.207329365098, 0.001822214175, -0.000881479313, 0.000136613030, -0.000006081118, 0.000004949747, -0.000002687006]
41;-1;42;2D;-3753,57821457;0,2529;4;2;3;0;2;[1, 3, 1, 4, 2, 3, 4, 3, 2, 2, 2, 2, 2, 2, 1];[69.512532, 51.614236, 42.515673, 30.184309, 18.723442, 18.716561, 10.523020, 7.039269, 6.671101, 3.877900, 2.886243, 2.110581, 0.708176, 0.373352, 0.186523];[-0.026956748976, 0.028885029169, 0.232439999690, -0.049833067561, -0.493079276393, -0.545882192435, 0.429656606447, 0.078643001990, 1.251075118408, 0.003427770832, 0.006187042914, -0.000231082496, 0.000048366104, -0.000038183766, 0.000021213203]
41;-1;42;2D;-3753,57821457;0,2529;4;2;4;0;2;[1, 3, 1, 4, 2, 3, 4, 3, 2, 2, 2, 2, 2, 2, 1];[69.512532, 51.614236, 42.515673, 30.184309, 18.723442, 18.716561, 10.523020, 7.039269, 6.671101, 3.877900, 2.886243, 2.110581, 0.708176, 0.373352, 0.186523];[0.010259836552, -0.011066503968, -0.088976094805, 0.016636666926, 0.186514262780, 0.244238924863, -0.064473713466, -0.784851898986, -0.633152462841, -0.372247879674, 1.986262524089, 0.361073754054, 0.000493560533, -0.000041436457, 0.000001414214]
41;-1;42;2D;-3753,57821457;0,2529;4;2;5;0;2;[1, 3, 1, 4, 2, 3, 4, 3, 2, 2, 2, 2, 2, 2, 1];[69.512532, 51.614236, 42.515673, 30.184309, 18.723442, 18.716561, 10.523020, 7.039269, 6.671101, 3.877900, 2.886243, 2.110581, 0.708176, 0.373352, 0.186523];[-0.001808779146, 0.001982444572, 0.015751652079, -0.002560292233, -0.033497345281, -0.045303482942, -0.000628759350, 0.198029496712, 0.125418398408, -0.025930878458, -0.217404646781, -0.380503492766, 0.674705734259, 0.608362430464, 0.326703273319]
41;-1;42;2D;-3753,57821457;0,2529;4;2;2;1;6;[2, 3, 2, 3, 3, 2, 3, 3, 3, 2, 2, 2];[63.780867, 52.162440, 30.371699, 24.649854, 18.350796, 13.080766, 8.775199, 6.467897, 2.204689, 1.967866, 0.739804, 0.186523];[-0.011167468686, -0.024223493964, 0.794269339454, 0.935972076125, 0.675106562447, 0.261433795298, 0.006433829758, -0.000759341820, -0.000182976884, 0.000177343057, 0.000009797959, -0.000001714643]
41;-1;42;2D;-3753,57821457;0,2529;4;2;3;1;6;[2, 3, 2, 3, 3, 2, 3, 3, 3, 2, 2, 2];[63.780867, 52.162440, 30.371699, 24.649854, 18.350796, 13.080766, 8.775199, 6.467897, 2.204689, 1.967866, 0.739804, 0.186523];[-0.009002119754, -0.019149375962, 0.457205098858, 0.506732066814, 0.843075177630, -0.623664583410, -1.889909934769, -0.728183330939, 0.011751671990, -0.020105411809, -0.000008083316, 0.000006123724]
